x y z std sst
 2.70 49.58 21.02  2.55 1
-170.33 -63.62 30.25  2.62 1
 2.70 49.58 11.22  2.50 1
-162.78 -57.05 16.37  2.50 1
-162.78 -57.05 25.44  2.50 1
-74.27 34.86  6.96  2.50 1
60.96  1.41  7.33  2.55 1
-108.20 42.36  5.45  2.50 1
-160.24 -54.88 24.47  4.98 1
-160.24 -54.88 23.21  2.50 1
-149.88  6.53  6.76  2.98 1
 1.38 47.37  9.11  2.75 1
32.65 -16.77  3.96  2.50 1
-159.20 -53.90 21.98  2.50 1
-159.00 -54.10 24.48  2.50 1
-59.59 41.69  8.96  3.18 1
