site,timeslice,temperature,proxy,lat,lon,mlat,mlon,plat,plon,5,50,95,sd,mean minus reported error,mean plus reported error,deepmip lower error,deepmip upper error,min,max,v1,v2,v3,v4,v5,v6
Chalk Bluffs,eeco,lat,mbtcbt,39.1,-120.83,44.87,-108.21,44.8,-93.06,-999.9,20.1,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,1,1,1,0,1,1
Cherokee Site 1,eeco,lat,mbtcbt,39.64,-121.54,45.44,-108.94,45.47,-93.57,-999.9,17.1,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,1,1,1,0,1,1
China Gulch,eeco,lat,mbtcbt,38.26,-120.89,44.04,-108.34,44.01,-93.47,-999.9,24.5,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,1,1,1,0,1,1
Chu Chua BC,eeco,lat,clamp,49.52,-121.64,55.31,-108.02,54.81,-88.49,-999.9,7.3,-999.9,-999.9,5.3,9.3,5.3,9.3,-999.9,-999.9,1,1,1,1,1,1
Chuckanut,eeco,lat,clamp,48.7,-122.5,54.53,-109.1,54.26,-89.91,13.4,15.6,17.6,1.7,13.5,17.7,13.5,17.7,13,17.7,1,1,1,1,1,1
Chuckanut,eeco,lat,lma,48.7,-122.5,54.53,-109.1,54.26,-89.91,14,19.13,23,3.8,16.3,22,16.3,22,13.4,23.4,1,1,1,1,1,1
Chuckanut,eeco,lat,lma,48.7,-122.5,54.53,-109.1,54.26,-89.91,13.5,17.6,20.7,3,15.3,19.9,15.3,19.9,13,21,1,1,1,1,1,1
Chuckanut,eeco,lat,lma,48.7,-122.5,54.53,-109.1,54.26,-89.91,17.4,23.57,28.2,4.6,20.2,27,20.2,27,16.7,28.6,1,1,1,1,1,1
Chuckanut,eeco,lat,lma,48.7,-122.5,54.53,-109.1,54.26,-89.91,13.1,16.59,19.2,2.5,14.5,18.6,14.5,18.6,12.8,19.4,1,1,1,1,1,1
Cobham lignite,lp,lat,gdgtlignite,51.4,0.4,50.38,-1.64,40.06,3.08,23.68,24.62,25.68,0.8,23.89,25.36,23.89,25.36,23.67,25.85,1,1,1,1,1,1
Council Hill,eeco,lat,mbtcbt,39.59,-120.99,45.37,-108.34,45.3,-93.01,-999.9,14.8,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,1,1,1,0,1,1
Driftwood Canyon,eeco,lat,lma,54.8,-127,60.8,-113.54,60.95,-90.32,-999.9,8.3,-999.9,-999.9,4.7,11.9,4.7,11.9,-999.9,-999.9,1,1,1,1,1,1
dsdp 277,eeco,sst,del18O,-52.22,166.19,-63.62,-170.33,-54.26,-170.93,14.54,16.7,18.05,2.17,-999.9,-999.9,14.54,18.05,14.17,18.07,1,0,1,1,1,0
dsdp 277,eeco,sst,mgca,-52.22,166.19,-63.62,-170.33,-54.26,-170.93,25.56,30.07,34.17,3.1,-999.9,-999.9,25.56,34.17,21.55,39.52,1,1,1,1,1,0
dsdp 277,lp,sst,del18O,-52.22,166.19,-65.56,-168.97,-55.59,-168.37,13.19,14.84,16.76,1.73,-999.9,-999.9,13.19,16.76,12.94,17.13,1,0,1,1,1,0
dsdp 277,lp,sst,mgca,-52.22,166.19,-65.56,-168.97,-55.59,-168.37,26.2,29.76,33.16,1.39,-999.9,-999.9,26.2,33.16,24.51,35.12,1,1,1,1,1,0
dsdp 277,petm,sst,del18O,-52.22,166.19,-65.56,-168.97,-55.59,-168.37,18.22,20.02,22.64,2.04,-999.9,-999.9,18.22,22.64,18.14,22.73,1,0,1,1,1,0
dsdp 277,petm,sst,mgca,-52.22,166.19,-65.56,-168.97,-55.59,-168.37,25.57,31.15,36.62,1.63,-999.9,-999.9,25.57,36.62,23.99,40.61,1,1,1,1,1,0
